filename,width,height,class,xmin,ymin,xmax,ymax
A_blue_image0.jpg,320,320,A,13,130,319,236
A_blue_image1.jpg,320,320,A,110,183,248,243
A_blue_image100.jpg,320,320,A,32,139,238,225
A_blue_image101.jpg,320,320,A,64,235,229,298
A_blue_image102.jpg,320,320,A,74,154,243,206
A_blue_image106.jpg,320,320,A,101,181,204,217
A_blue_image107.jpg,320,320,A,13,128,320,228
A_blue_image109.jpg,320,320,A,15,122,170,194
A_blue_image11.jpg,320,320,A,107,197,230,261
A_blue_image110.jpg,320,320,A,60,163,185,214
A_blue_image113.jpg,320,320,A,93,198,228,247
A_blue_image114.jpg,320,320,A,27,157,292,239
A_blue_image115.jpg,320,320,A,45,137,214,193
A_blue_image116.jpg,320,320,A,2,125,299,212
A_blue_image117.jpg,320,320,A,3,102,318,243
A_blue_image118.jpg,320,320,A,130,163,311,228
A_blue_image119.jpg,320,320,A,86,185,210,227
A_blue_image12.jpg,320,320,A,93,161,228,217
A_blue_image120.jpg,320,320,A,136,166,251,232
A_blue_image121.jpg,320,320,A,102,197,238,268
A_blue_image122.jpg,320,320,A,125,156,244,197
A_blue_image123.jpg,320,320,A,51,29,289,110
A_blue_image124.jpg,320,320,A,70,190,239,273
A_blue_image125.jpg,320,320,A,9,143,128,214
A_blue_image126.jpg,320,320,A,47,137,235,192
A_blue_image128.jpg,320,320,A,111,169,320,237
A_blue_image129.jpg,320,320,A,52,175,269,227
A_blue_image130.jpg,320,320,A,93,125,286,190
A_blue_image132.jpg,320,320,A,42,156,246,231
A_blue_image134.jpg,320,320,A,74,179,238,243
A_blue_image135.jpg,320,320,A,60,131,249,189
A_blue_image136.jpg,320,320,A,58,169,250,234
A_blue_image137.jpg,320,320,A,23,183,208,259
A_blue_image138.jpg,320,320,A,28,150,294,256
A_blue_image139.jpg,320,320,A,108,261,217,316
A_blue_image14.jpg,320,320,A,28,155,274,245
A_blue_image141.jpg,320,320,A,10,158,312,224
A_blue_image142.jpg,320,320,A,18,170,313,230
A_blue_image143.jpg,320,320,A,72,188,226,230
A_blue_image144.jpg,320,320,A,9,88,320,199
A_blue_image145.jpg,320,320,A,103,196,246,250
A_blue_image148.jpg,320,320,A,73,165,246,234
A_blue_image149.jpg,320,320,A,65,28,268,95
A_blue_image15.jpg,320,320,A,63,189,224,263
A_blue_image150.jpg,320,320,A,5,157,316,254
A_blue_image151.jpg,320,320,A,43,178,138,237
A_blue_image153.jpg,320,320,A,111,175,287,234
A_blue_image154.jpg,320,320,A,2,110,193,175
A_blue_image155.jpg,320,320,A,11,136,288,233
A_blue_image157.jpg,320,320,A,5,126,315,216
A_blue_image158.jpg,320,320,A,87,189,200,232
A_blue_image159.jpg,320,320,A,94,176,208,221
A_blue_image160.jpg,320,320,A,90,190,214,272
A_blue_image161.jpg,320,320,A,107,168,231,226
A_blue_image162.jpg,320,320,A,168,192,282,257
A_blue_image163.jpg,320,320,A,83,199,239,250
A_blue_image164.jpg,320,320,A,28,131,318,219
A_blue_image165.jpg,320,320,A,33,166,284,249
A_blue_image167.jpg,320,320,A,4,119,299,216
A_blue_image170.jpg,320,320,A,103,172,240,228
A_blue_image172.jpg,320,320,A,66,191,246,270
A_blue_image173.jpg,320,320,A,1,105,319,206
A_blue_image174.jpg,320,320,A,35,138,223,193
A_blue_image175.jpg,320,320,A,1,116,312,201
A_blue_image176.jpg,320,320,A,150,191,261,245
A_blue_image177.jpg,320,320,A,63,206,234,258
A_blue_image178.jpg,320,320,A,91,180,211,218
A_blue_image18.jpg,320,320,A,78,190,247,236
A_blue_image180.jpg,320,320,A,49,131,290,240
A_blue_image182.jpg,320,320,A,121,217,294,271
A_blue_image183.jpg,320,320,A,108,130,269,201
A_blue_image185.jpg,320,320,A,71,173,216,229
A_blue_image186.jpg,320,320,A,84,138,277,192
A_blue_image190.jpg,320,320,A,52,146,272,210
A_blue_image193.jpg,320,320,A,48,181,257,272
A_blue_image194.jpg,320,320,A,21,152,207,221
A_blue_image195.jpg,320,320,A,12,139,320,263
A_blue_image196.jpg,320,320,A,78,199,219,253
A_blue_image197.jpg,320,320,A,13,126,312,245
A_blue_image198.jpg,320,320,A,96,133,206,166
A_blue_image199.jpg,320,320,A,16,128,305,244
A_blue_image2.jpg,320,320,A,85,188,237,253
A_blue_image20.jpg,320,320,A,142,199,275,254
A_blue_image200.jpg,320,320,A,63,141,263,206
A_blue_image204.jpg,320,320,A,33,148,199,217
A_blue_image205.jpg,320,320,A,1,105,318,192
A_blue_image207.jpg,320,320,A,76,191,224,255
A_blue_image22.jpg,320,320,A,73,140,290,208
A_blue_image23.jpg,320,320,A,1,135,196,194
A_blue_image24.jpg,320,320,A,24,136,286,215
A_blue_image25.jpg,320,320,A,25,135,280,204
A_blue_image26.jpg,320,320,A,96,73,233,122
A_blue_image27.jpg,320,320,A,93,152,247,192
A_blue_image28.jpg,320,320,A,63,161,271,240
A_blue_image30.jpg,320,320,A,1,142,319,245
A_blue_image31.jpg,320,320,A,92,196,253,258
A_blue_image32.jpg,320,320,A,91,176,320,272
A_blue_image34.jpg,320,320,A,81,195,229,243
A_blue_image35.jpg,320,320,A,81,207,233,287
A_blue_image36.jpg,320,320,A,30,136,266,214
A_blue_image37.jpg,320,320,A,82,199,246,246
A_blue_image38.jpg,320,320,A,40,199,173,249
A_blue_image39.jpg,320,320,A,76,169,226,225
A_blue_image4.jpg,320,320,A,52,143,290,186
A_blue_image40.jpg,320,320,A,53,187,288,252
A_blue_image41.jpg,320,320,A,74,209,229,282
A_blue_image42.jpg,320,320,A,28,140,289,204
A_blue_image43.jpg,320,320,A,6,160,318,247
A_blue_image44.jpg,320,320,A,7,131,319,225
A_blue_image45.jpg,320,320,A,81,77,296,140
A_blue_image47.jpg,320,320,A,77,200,220,261
A_blue_image48.jpg,320,320,A,72,166,267,217
A_blue_image5.jpg,320,320,A,73,166,231,226
A_blue_image52.jpg,320,320,A,16,151,306,220
A_blue_image53.jpg,320,320,A,2,166,294,223
A_blue_image54.jpg,320,320,A,50,130,267,206
A_blue_image55.jpg,320,320,A,88,163,261,213
A_blue_image56.jpg,320,320,A,83,187,279,238
A_blue_image57.jpg,320,320,A,131,160,268,225
A_blue_image6.jpg,320,320,A,48,167,187,227
A_blue_image60.jpg,320,320,A,106,155,286,200
A_blue_image61.jpg,320,320,A,26,164,140,223
A_blue_image62.jpg,320,320,A,147,167,307,232
A_blue_image63.jpg,320,320,A,44,219,268,286
A_blue_image65.jpg,320,320,A,26,134,301,227
A_blue_image66.jpg,320,320,A,5,92,307,172
A_blue_image67.jpg,320,320,A,10,138,134,204
A_blue_image69.jpg,320,320,A,75,192,186,244
A_blue_image70.jpg,320,320,A,22,156,320,292
A_blue_image71.jpg,320,320,A,39,97,320,192
A_blue_image72.jpg,320,320,A,78,245,198,301
A_blue_image73.jpg,320,320,A,71,164,244,208
A_blue_image74.jpg,320,320,A,2,131,319,225
A_blue_image75.jpg,320,320,A,56,158,213,203
A_blue_image77.jpg,320,320,A,38,152,283,205
A_blue_image78.jpg,320,320,A,35,161,162,214
A_blue_image79.jpg,320,320,A,17,179,320,250
A_blue_image8.jpg,320,320,A,123,170,288,224
A_blue_image80.jpg,320,320,A,3,146,145,190
